Transaction_ID,Date,Account_Type,Transaction_Amount,Cash_Flow,Net_Income,Revenue,Expenditure,Profit_Margin,Debt-to-Equity_Ratio,Operating_Expenses,Gross_Profit,Transaction_Volume,Processing_Time_seconds,Accuracy_Score,Missing_Data_Indicator,Normalized_Transaction_Amount,Transaction_Outcome,Month_Year,Month,Month_Num,Quarter,Year,DayOfWeek,Net_Profit,OpEx_Ratio,Success_Flag
146,2025-05-26,Revenue,443,3139,2101,4629,1735,0.607,1.8486,3607,3125,3,1.0364,0.8246,1,0.0689,0,2025-05,May,5,2,2025,Monday,2894,0.7792,Failure
147,2025-05-27,Liability,3731,4479,1046,1252,698,0.6424,2.2633,2932,1547,2,0.5801,0.9524,0,0.741,1,2025-05,May,5,2,2025,Tuesday,554,2.3419,Success
148,2025-05-28,Asset,2310,4024,2678,1199,2654,0.2419,1.7518,873,1425,8,0.6305,0.9531,0,0.4505,1,2025-05,May,5,2,2025,Wednesday,-1455,0.7281,Success
149,2025-05-29,Revenue,3342,3840,3105,4770,189,0.7119,2.6907,4197,1509,4,1.4159,0.9483,0,0.6615,1,2025-05,May,5,2,2025,Thursday,4581,0.8799,Success
150,2025-05-30,Asset,263,3099,673,890,3501,0.4898,0.8218,4766,3521,1,1.4366,0.9629,0,0.0321,1,2025-05,May,5,2,2025,Friday,-2611,5.3551,Success
151,2025-05-31,Expense,2782,1789,3468,1353,3155,0.4824,2.7112,3129,1275,3,1.2297,0.8855,0,0.547,1,2025-05,May,5,2,2025,Saturday,-1802,2.3126,Success
152,2025-06-01,Expense,1708,2776,2530,3191,1184,0.4818,0.9147,904,325,3,0.9924,0.9701,0,0.3275,1,2025-06,June,6,2,2025,Sunday,2007,0.2833,Success
153,2025-06-02,Revenue,4516,1375,1452,4540,1505,0.5987,2.7834,4051,3058,3,0.7535,0.9032,0,0.9015,1,2025-06,June,6,2,2025,Monday,3035,0.8923,Success
154,2025-06-03,Expense,3084,2538,1657,3452,749,0.5214,2.0528,4121,2860,9,1.9276,0.8054,0,0.6087,1,2025-06,June,6,2,2025,Tuesday,2703,1.1938,Success
155,2025-06-04,Expense,2013,1308,1024,2422,1561,0.575,0.5901,2391,3332,2,1.1265,0.9608,0,0.3898,1,2025-06,June,6,2,2025,Wednesday,861,0.9872,Success
156,2025-06-05,Expense,4925,4131,293,3693,1823,0.2158,2.8186,752,3968,7,1.5556,0.9334,0,0.9851,1,2025-06,June,6,2,2025,Thursday,1870,0.2036,Success
157,2025-06-06,Revenue,136,4325,2820,4213,1235,0.6507,2.6377,1785,1266,7,1.7482,0.8252,0,0.0061,1,2025-06,June,6,2,2025,Friday,2978,0.4237,Success
158,2025-06-07,Liability,171,2542,3650,1937,836,0.6812,1.4376,2211,3536,2,0.6497,0.8399,1,0.0133,1,2025-06,June,6,2,2025,Saturday,1101,1.1415,Success
159,2025-06-08,Expense,3276,946,1139,4393,1550,0.2941,2.6081,3354,1392,3,1.5002,0.8814,0,0.648,1,2025-06,June,6,2,2025,Sunday,2843,0.7635,Success
160,2025-06-09,Revenue,4219,1227,3744,1869,1374,0.7335,0.681,1223,845,7,1.2833,0.8786,0,0.8408,1,2025-06,June,6,2,2025,Monday,495,0.6544,Success
161,2025-06-10,Expense,980,2368,2583,3398,2028,0.6223,1.7302,3518,2121,8,1.5181,0.9413,1,0.1787,0,2025-06,June,6,2,2025,Tuesday,1370,1.0353,Failure
162,2025-06-11,Asset,4781,1209,2737,4752,2680,0.3973,1.0808,2824,1847,9,1.965,0.8766,0,0.9556,1,2025-06,June,6,2,2025,Wednesday,2072,0.5943,Success
163,2025-06-12,Liability,1718,2206,2113,1628,494,0.3533,1.8582,1521,3481,9,1.6756,0.9877,0,0.3295,1,2025-06,June,6,2,2025,Thursday,1134,0.9343,Success
164,2025-06-13,Revenue,3796,1916,791,3476,3786,0.3533,1.2107,3497,709,4,1.5809,0.8735,0,0.7543,1,2025-06,June,6,2,2025,Friday,-310,1.006,Success
165,2025-06-14,Revenue,1916,2887,746,2801,1775,0.6993,1.7873,603,3812,5,0.7218,0.8852,0,0.37,1,2025-06,June,6,2,2025,Saturday,1026,0.2153,Success
166,2025-06-15,Expense,4323,1580,573,1205,2378,0.5177,1.9318,861,2856,1,0.7348,0.9949,0,0.862,1,2025-06,June,6,2,2025,Sunday,-1173,0.7145,Success
167,2025-06-16,Asset,2948,2453,3730,4199,1041,0.4829,1.4187,2943,216,1,1.8223,0.8086,0,0.5809,1,2025-06,June,6,2,2025,Monday,3158,0.7009,Success
168,2025-06-17,Revenue,2263,2693,3191,2091,1097,0.7782,1.2699,3961,771,1,1.413,0.8799,0,0.4409,1,2025-06,June,6,2,2025,Tuesday,994,1.8943,Success
169,2025-06-18,Revenue,3111,1302,1408,3047,2260,0.3942,2.5935,3656,184,4,1.6191,0.9772,0,0.6143,1,2025-06,June,6,2,2025,Wednesday,787,1.1999,Success
170,2025-06-19,Expense,4666,1794,1729,1012,149,0.2989,1.7052,1675,2207,1,1.4565,0.8491,0,0.9321,1,2025-06,June,6,2,2025,Thursday,863,1.6551,Success
171,2025-06-20,Expense,2604,1534,2454,4469,928,0.481,2.5662,3888,255,7,1.724,0.8957,0,0.5106,1,2025-06,June,6,2,2025,Friday,3541,0.87,Success
172,2025-06-21,Expense,224,3441,1320,710,2863,0.7136,2.3641,3490,3196,6,0.909,0.9045,0,0.0241,1,2025-06,June,6,2,2025,Saturday,-2153,4.9155,Success
173,2025-06-22,Expense,4041,2112,1410,2366,2226,0.3689,1.0351,2726,3028,8,1.1378,0.9495,0,0.8044,0,2025-06,June,6,2,2025,Sunday,140,1.1522,Failure
174,2025-06-23,Revenue,4794,3093,1216,2361,756,0.421,2.9018,199,1935,9,1.9355,0.8904,0,0.9583,0,2025-06,June,6,2,2025,Monday,1605,0.0843,Failure
175,2025-06-24,Liability,2616,1347,1797,2114,275,0.5313,2.2705,1058,1879,1,1.9033,0.9851,0,0.5131,1,2025-06,June,6,2,2025,Tuesday,1839,0.5005,Success
176,2025-06-25,Asset,2401,2410,1459,4615,1568,0.4899,2.2298,4723,2546,1,1.1204,0.9309,0,0.4691,1,2025-06,June,6,2,2025,Wednesday,3047,1.0234,Success
177,2025-06-26,Liability,505,2417,3132,4732,2588,0.5975,0.9169,3965,2253,3,0.645,0.9948,1,0.0816,1,2025-06,June,6,2,2025,Thursday,2144,0.8379,Success
178,2025-06-27,Liability,3313,3227,2381,1678,1961,0.599,1.597,984,262,5,0.5854,0.8943,0,0.6556,1,2025-06,June,6,2,2025,Friday,-283,0.5864,Success
179,2025-06-28,Revenue,1988,1054,2901,822,2553,0.6891,1.2086,3903,1261,4,0.672,0.8469,0,0.3847,1,2025-06,June,6,2,2025,Saturday,-1731,4.7482,Success
180,2025-06-29,Asset,1574,2689,996,1222,1974,0.7826,1.0234,3109,626,4,1.5916,0.9663,0,0.3001,1,2025-06,June,6,2,2025,Sunday,-752,2.5442,Success
181,2025-06-30,Expense,2283,3000,2681,4587,1000,0.6278,2.4106,4201,1560,4,1.2079,0.8432,0,0.445,1,2025-06,June,6,2,2025,Monday,3587,0.9158,Success
182,2025-07-01,Liability,1684,1398,2393,3148,3505,0.5319,2.1143,826,3675,4,1.1367,0.8953,0,0.3226,1,2025-07,July,7,3,2025,Tuesday,-357,0.2624,Success
183,2025-07-02,Expense,3888,1415,1575,4566,815,0.4587,1.7091,2273,272,5,1.86,0.8884,0,0.7731,1,2025-07,July,7,3,2025,Wednesday,3751,0.4978,Success
184,2025-07-03,Expense,2824,4318,3070,2143,1620,0.2059,1.5901,1908,3081,7,0.9487,0.9078,0,0.5556,1,2025-07,July,7,3,2025,Thursday,523,0.8903,Success
185,2025-07-04,Asset,3897,2854,3775,868,3171,0.2797,1.9581,3340,279,6,1.8288,0.9948,0,0.7749,0,2025-07,July,7,3,2025,Friday,-2303,3.8479,Failure
186,2025-07-05,Asset,4697,1634,3366,1618,552,0.3009,2.7803,3223,2604,2,1.7306,0.9124,0,0.9385,1,2025-07,July,7,3,2025,Saturday,1066,1.992,Success
187,2025-07-06,Expense,3113,2042,2696,2008,3857,0.7524,0.8234,4032,2181,6,1.3138,0.8491,0,0.6147,1,2025-07,July,7,3,2025,Sunday,-1849,2.008,Success
188,2025-07-07,Asset,2686,2451,292,1156,1389,0.4315,1.826,2646,3864,1,0.9509,0.8672,0,0.5274,1,2025-07,July,7,3,2025,Monday,-233,2.2889,Success
189,2025-07-08,Asset,4333,4017,3083,3915,2170,0.6282,1.0357,4524,872,9,0.8287,0.8783,0,0.8641,1,2025-07,July,7,3,2025,Tuesday,1745,1.1556,Success
190,2025-07-09,Revenue,2976,3340,2774,2546,3943,0.4529,1.0571,502,3681,2,1.6427,0.9279,1,0.5867,0,2025-07,July,7,3,2025,Wednesday,-1397,0.1972,Failure
191,2025-07-10,Expense,1594,979,1195,3162,2914,0.2308,1.7597,4107,2078,3,1.1191,0.9473,0,0.3042,1,2025-07,July,7,3,2025,Thursday,248,1.2989,Success
192,2025-07-11,Asset,2209,4231,394,1091,3913,0.3614,1.6424,1236,819,7,1.5497,0.8496,0,0.4299,1,2025-07,July,7,3,2025,Friday,-2822,1.1329,Success
193,2025-07-12,Liability,1404,4017,1578,4450,1917,0.2784,0.5529,156,868,3,1.917,0.9869,1,0.2653,1,2025-07,July,7,3,2025,Saturday,2533,0.0351,Success
194,2025-07-13,Liability,1831,2907,3087,1125,2292,0.6237,1.0395,1029,1783,3,1.3837,0.9687,0,0.3526,1,2025-07,July,7,3,2025,Sunday,-1167,0.9147,Success
195,2025-07-14,Revenue,1723,2285,1011,3181,1039,0.5208,0.6166,4797,3295,4,1.1489,0.9759,1,0.3305,1,2025-07,July,7,3,2025,Monday,2142,1.508,Success
196,2025-07-15,Liability,455,2509,1940,461,580,0.4872,2.9007,4130,3000,9,1.7606,0.8588,0,0.0713,1,2025-07,July,7,3,2025,Tuesday,-119,8.9588,Success
197,2025-07-16,Liability,1359,1224,916,1597,3411,0.7325,1.8203,1538,607,7,1.939,0.891,0,0.2561,1,2025-07,July,7,3,2025,Wednesday,-1814,0.9631,Success
198,2025-07-17,Liability,288,529,1361,2535,1143,0.6489,1.2374,2066,2815,1,1.6784,0.8468,0,0.0372,1,2025-07,July,7,3,2025,Thursday,1392,0.815,Success
199,2025-07-18,Asset,2566,1896,708,3887,2438,0.5521,1.5603,1438,1267,6,1.018,0.801,0,0.5029,1,2025-07,July,7,3,2025,Friday,1449,0.37,Success
200,2025-07-19,Revenue,3497,1251,441,677,561,0.3047,1.273,2527,875,3,1.0744,0.853,0,0.6932,1,2025-07,July,7,3,2025,Saturday,116,3.7326,Success
201,2025-07-20,Liability,1993,879,730,3173,2680,0.7473,1.0135,3473,2481,6,1.9282,0.9877,0,0.3857,1,2025-07,July,7,3,2025,Sunday,493,1.0945,Success
202,2025-07-21,Asset,4380,2398,3454,2783,3226,0.6687,1.6602,2074,2112,1,0.8187,0.909,0,0.8737,1,2025-07,July,7,3,2025,Monday,-443,0.7452,Success
203,2025-07-22,Asset,644,577,3817,3041,667,0.3609,1.6743,2765,1195,4,0.7041,0.8738,0,0.11,1,2025-07,July,7,3,2025,Tuesday,2374,0.9092,Success
204,2025-07-23,Expense,2106,3244,1017,2320,2354,0.2686,1.5581,2756,1076,7,0.9874,0.9365,0,0.4088,1,2025-07,July,7,3,2025,Wednesday,-34,1.1879,Success
205,2025-07-24,Liability,3028,1579,1536,4493,1603,0.501,2.3116,3062,3724,1,0.7964,0.921,0,0.5973,1,2025-07,July,7,3,2025,Thursday,2890,0.6815,Success
206,2025-07-25,Liability,419,3620,1882,2001,3980,0.3765,2.7295,620,3262,1,0.5654,0.9009,0,0.064,1,2025-07,July,7,3,2025,Friday,-1979,0.3098,Success
207,2025-07-26,Revenue,4057,1466,3542,1538,3136,0.6206,0.706,1946,1391,6,1.6293,0.8843,0,0.8076,1,2025-07,July,7,3,2025,Saturday,-1598,1.2653,Success
208,2025-07-27,Asset,4072,2302,2941,1722,3627,0.2038,1.9335,3089,3354,1,0.9341,0.9548,0,0.8107,1,2025-07,July,7,3,2025,Sunday,-1905,1.7938,Success
209,2025-07-28,Asset,4267,712,1408,2524,2694,0.5515,1.7364,884,402,9,0.6992,0.8978,0,0.8506,1,2025-07,July,7,3,2025,Monday,-170,0.3502,Success
210,2025-07-29,Expense,3967,4036,2931,4389,3041,0.7183,2.2622,2853,693,1,0.9387,0.8842,1,0.7892,0,2025-07,July,7,3,2025,Tuesday,1348,0.65,Failure
211,2025-07-30,Revenue,966,599,3578,2623,1706,0.5296,1.3445,2448,207,8,0.5783,0.8376,0,0.1758,1,2025-07,July,7,3,2025,Wednesday,917,0.9333,Success
212,2025-07-31,Liability,2168,3170,2764,2417,3787,0.3607,1.4676,4407,1374,6,0.8522,0.8167,0,0.4215,1,2025-07,July,7,3,2025,Thursday,-1370,1.8233,Success
213,2025-08-01,Revenue,3538,1214,2654,372,634,0.2894,1.983,472,297,1,1.1985,0.8336,0,0.7016,1,2025-08,August,8,3,2025,Friday,-262,1.2688,Success
214,2025-08-02,Asset,1586,2176,261,2309,897,0.3598,2.8694,1283,2415,7,0.737,0.8875,0,0.3025,1,2025-08,August,8,3,2025,Saturday,1412,0.5557,Success
215,2025-08-03,Liability,1210,3566,1836,1257,3862,0.7653,1.9762,421,3861,3,1.4808,0.8841,0,0.2257,1,2025-08,August,8,3,2025,Sunday,-2605,0.3349,Success
216,2025-08-04,Revenue,4337,2910,936,4408,3722,0.3323,0.7693,472,2624,5,1.2915,0.885,0,0.8649,1,2025-08,August,8,3,2025,Monday,686,0.1071,Success
217,2025-08-05,Expense,3883,1050,2272,2200,2755,0.4837,1.246,1582,457,9,1.5756,0.8308,0,0.7721,1,2025-08,August,8,3,2025,Tuesday,-555,0.7191,Success
218,2025-08-06,Revenue,4542,2703,797,763,2260,0.4637,1.649,1400,1037,9,1.5827,0.9654,0,0.9068,1,2025-08,August,8,3,2025,Wednesday,-1497,1.8349,Success
219,2025-08-07,Revenue,4378,2291,1840,2611,751,0.2416,0.9371,310,3715,7,0.5733,0.9642,1,0.8733,1,2025-08,August,8,3,2025,Thursday,1860,0.1187,Success
220,2025-08-08,Asset,363,3325,998,2976,1382,0.3659,0.6847,4953,807,9,1.8583,0.9563,0,0.0525,1,2025-08,August,8,3,2025,Friday,1594,1.6643,Success
221,2025-08-09,Liability,3639,564,3043,1339,1466,0.7743,2.3059,4887,3602,6,1.7673,0.9154,0,0.7222,1,2025-08,August,8,3,2025,Saturday,-127,3.6497,Success
222,2025-08-10,Asset,514,2442,3164,1870,572,0.574,2.4952,3658,1665,7,1.9498,0.9569,0,0.0834,1,2025-08,August,8,3,2025,Sunday,1298,1.9561,Success
223,2025-08-11,Expense,2868,1136,2828,1661,855,0.3588,2.3859,2917,1895,8,0.8972,0.9636,0,0.5646,0,2025-08,August,8,3,2025,Monday,806,1.7562,Failure
224,2025-08-12,Revenue,2512,1127,1769,3511,2473,0.2867,2.8812,4430,2130,4,1.3623,0.9598,0,0.4918,1,2025-08,August,8,3,2025,Tuesday,1038,1.2617,Success
225,2025-08-13,Expense,1602,1802,3845,1014,2991,0.7502,0.8916,867,2455,3,1.6241,0.8854,0,0.3058,1,2025-08,August,8,3,2025,Wednesday,-1977,0.855,Success
226,2025-08-14,Revenue,1586,1472,1723,2279,564,0.4378,1.1354,1310,2659,6,1.7948,0.8566,0,0.3025,1,2025-08,August,8,3,2025,Thursday,1715,0.5748,Success
227,2025-08-15,Expense,2758,875,981,3694,163,0.7334,2.9227,1526,1731,4,1.5983,0.9759,0,0.5421,1,2025-08,August,8,3,2025,Friday,3531,0.4131,Success
228,2025-08-16,Liability,293,3101,1604,4987,1944,0.3691,1.6575,2497,1545,2,1.7769,0.8479,0,0.0382,1,2025-08,August,8,3,2025,Saturday,3043,0.5007,Success
229,2025-08-17,Revenue,566,2038,2988,2875,3310,0.518,1.5991,1703,2826,8,1.711,0.8679,0,0.094,1,2025-08,August,8,3,2025,Sunday,-435,0.5923,Success
230,2025-08-18,Liability,1449,2772,495,1733,1946,0.5922,2.8676,2800,3829,2,0.6433,0.8325,0,0.2745,1,2025-08,August,8,3,2025,Monday,-213,1.6157,Success
231,2025-08-19,Expense,2660,1901,3297,1933,388,0.3413,1.3141,4637,457,5,1.1502,0.9799,0,0.5221,1,2025-08,August,8,3,2025,Tuesday,1545,2.3989,Success
232,2025-08-20,Expense,983,4042,704,1113,1853,0.2652,0.5435,2697,2675,2,1.6673,0.8673,0,0.1793,1,2025-08,August,8,3,2025,Wednesday,-740,2.4232,Success
233,2025-08-21,Revenue,2483,892,1930,4540,550,0.5167,1.293,2764,1714,7,0.553,0.8956,0,0.4859,1,2025-08,August,8,3,2025,Thursday,3990,0.6088,Success
234,2025-08-22,Asset,1630,1317,3665,3308,2864,0.2384,2.9202,686,1890,5,0.7939,0.9426,0,0.3115,1,2025-08,August,8,3,2025,Friday,444,0.2074,Success
235,2025-08-23,Revenue,2594,2461,1180,3896,2545,0.3199,1.8985,466,601,7,1.2521,0.8659,0,0.5086,1,2025-08,August,8,3,2025,Saturday,1351,0.1196,Success
236,2025-08-24,Expense,937,971,3172,3197,1231,0.3516,2.6155,4101,2726,9,0.6093,0.8765,0,0.1699,0,2025-08,August,8,3,2025,Sunday,1966,1.2828,Failure
237,2025-08-25,Liability,1400,3215,1457,4920,3088,0.7724,2.9979,3695,3389,8,1.983,0.8792,0,0.2645,1,2025-08,August,8,3,2025,Monday,1832,0.751,Success
238,2025-08-26,Liability,853,2351,3171,3533,3077,0.6122,2.1987,3341,1781,4,1.1266,0.8673,0,0.1527,1,2025-08,August,8,3,2025,Tuesday,456,0.9457,Success
239,2025-08-27,Asset,2342,1193,3913,1789,491,0.321,1.0428,1009,2677,7,0.5813,0.9118,0,0.4571,1,2025-08,August,8,3,2025,Wednesday,1298,0.564,Success
240,2025-08-28,Revenue,1457,724,3726,2731,1662,0.6347,2.058,3990,1387,9,1.0726,0.8048,0,0.2762,1,2025-08,August,8,3,2025,Thursday,1069,1.461,Success
241,2025-08-29,Asset,1397,1083,655,769,1365,0.6133,1.8432,1622,3842,4,0.7746,0.8939,0,0.2639,1,2025-08,August,8,3,2025,Friday,-596,2.1092,Success
242,2025-08-30,Expense,838,1558,2713,3911,1965,0.6137,2.9478,296,1123,2,1.0734,0.8802,0,0.1496,1,2025-08,August,8,3,2025,Saturday,1946,0.0757,Success
243,2025-08-31,Revenue,4403,3254,943,4172,1084,0.2333,0.9307,4981,838,9,1.562,0.8044,0,0.8784,1,2025-08,August,8,3,2025,Sunday,3088,1.1939,Success
244,2025-09-01,Revenue,2900,1509,3673,4590,480,0.5992,0.7771,4701,3234,2,1.3306,0.9553,0,0.5711,1,2025-09,September,9,3,2025,Monday,4110,1.0242,Success
245,2025-09-02,Liability,3697,4127,1952,4977,218,0.7703,1.5958,1314,1679,4,1.7238,0.9995,0,0.7341,1,2025-09,September,9,3,2025,Tuesday,4759,0.264,Success
246,2025-09-03,Liability,3945,548,2288,4566,2444,0.614,1.5961,4239,2202,3,1.5269,0.9037,0,0.7848,1,2025-09,September,9,3,2025,Wednesday,2122,0.9284,Success
247,2025-09-04,Liability,1252,3399,478,3281,894,0.6586,2.5819,1653,2051,9,1.6663,0.9805,0,0.2343,0,2025-09,September,9,3,2025,Thursday,2387,0.5038,Failure
248,2025-09-05,Asset,2019,2034,2910,1342,2027,0.217,1.7102,4094,2608,9,0.5019,0.8813,0,0.391,1,2025-09,September,9,3,2025,Friday,-685,3.0507,Success
249,2025-09-06,Asset,1910,1050,761,3562,1216,0.2839,2.9409,3516,1902,1,1.0939,0.9664,0,0.3688,1,2025-09,September,9,3,2025,Saturday,2346,0.9871,Success
250,2025-09-07,Expense,460,3462,711,3736,3649,0.7506,2.6205,898,2738,5,0.9212,0.8441,0,0.0724,1,2025-09,September,9,3,2025,Sunday,87,0.2404,Success
251,2025-09-08,Liability,1217,565,1812,4367,3109,0.7308,0.95,3238,498,6,1.2807,0.9923,0,0.2271,1,2025-09,September,9,3,2025,Monday,1258,0.7415,Success
252,2025-09-09,Liability,570,3663,1919,3541,2811,0.5834,2.6284,871,2307,4,1.8133,0.8986,0,0.0948,1,2025-09,September,9,3,2025,Tuesday,730,0.246,Success
253,2025-09-10,Liability,4749,3298,2713,4678,3047,0.6341,2.1689,1495,3258,2,0.9454,0.8349,0,0.9491,1,2025-09,September,9,3,2025,Wednesday,1631,0.3196,Success
254,2025-09-11,Expense,2882,2584,209,4021,1357,0.5265,1.5779,4018,2225,7,0.9222,0.9002,0,0.5675,1,2025-09,September,9,3,2025,Thursday,2664,0.9993,Success
255,2025-09-12,Revenue,214,2708,2402,1150,2584,0.6719,2.9155,2878,2433,8,1.4189,0.964,0,0.0221,1,2025-09,September,9,3,2025,Friday,-1434,2.5026,Success
256,2025-09-13,Asset,4674,1110,2532,1068,2858,0.5746,2.4603,1092,1468,4,1.565,0.8484,0,0.9338,1,2025-09,September,9,3,2025,Saturday,-1790,1.0225,Success
257,2025-09-14,Expense,1700,2486,398,681,3174,0.6518,0.6142,2766,662,4,1.117,0.8646,0,0.3258,1,2025-09,September,9,3,2025,Sunday,-2493,4.0617,Success
258,2025-09-15,Expense,3221,4081,3629,3528,2248,0.4431,2.801,1739,1019,2,1.0184,0.8239,0,0.6368,1,2025-09,September,9,3,2025,Monday,1280,0.4929,Success
259,2025-09-16,Liability,4345,2321,2510,2756,1447,0.627,1.0964,4184,1428,9,0.6695,0.9717,0,0.8665,1,2025-09,September,9,3,2025,Tuesday,1309,1.5181,Success
260,2025-09-17,Asset,4773,1573,2003,3748,2032,0.3804,1.2325,3379,659,3,0.5382,0.9074,0,0.954,1,2025-09,September,9,3,2025,Wednesday,1716,0.9015,Success
261,2025-09-18,Asset,2420,2383,379,435,2088,0.7434,2.9659,220,3243,3,0.636,0.9846,0,0.473,1,2025-09,September,9,3,2025,Thursday,-1653,0.5057,Success
262,2025-09-19,Revenue,2629,1120,1610,707,184,0.4467,2.738,377,2419,6,0.8451,0.9324,0,0.5157,1,2025-09,September,9,3,2025,Friday,523,0.5332,Success
263,2025-09-20,Liability,2474,3826,3663,1760,1546,0.4024,2.896,2230,2974,2,1.6403,0.9495,0,0.4841,1,2025-09,September,9,3,2025,Saturday,214,1.267,Success
264,2025-09-21,Asset,4373,2718,2731,1186,1933,0.7196,2.6386,4971,3278,5,0.5359,0.8325,0,0.8722,1,2025-09,September,9,3,2025,Sunday,-747,4.1914,Success
265,2025-09-22,Asset,3706,3084,3975,3049,1466,0.4557,1.0986,1864,3468,8,0.6316,0.8524,0,0.7359,1,2025-09,September,9,3,2025,Monday,1583,0.6113,Success
266,2025-09-23,Liability,1761,1216,2031,478,3668,0.3393,0.6478,4628,2264,6,0.7002,0.908,0,0.3383,1,2025-09,September,9,3,2025,Tuesday,-3190,9.682,Success
267,2025-09-24,Expense,4524,4052,3636,915,1350,0.6373,1.0844,2084,543,3,0.7952,0.9281,0,0.9031,1,2025-09,September,9,3,2025,Wednesday,-435,2.2776,Success
268,2025-09-25,Revenue,3452,852,3459,2426,3471,0.3086,0.9892,680,3007,2,1.1632,0.8678,1,0.684,1,2025-09,September,9,3,2025,Thursday,-1045,0.2803,Success
269,2025-09-26,Asset,314,1481,3729,602,3804,0.3548,2.7986,3639,1118,5,0.7687,0.8062,0,0.0425,1,2025-09,September,9,3,2025,Friday,-3202,6.0449,Success
270,2025-09-27,Revenue,222,3734,2768,1862,1721,0.6998,0.7838,1906,1142,8,0.8844,0.9329,0,0.0237,1,2025-09,September,9,3,2025,Saturday,141,1.0236,Success
271,2025-09-28,Liability,2034,2853,810,321,565,0.561,1.5942,614,120,1,0.7305,0.9781,0,0.3941,1,2025-09,September,9,3,2025,Sunday,-244,1.9128,Success
272,2025-09-29,Asset,4516,3358,1928,4601,1853,0.6518,0.7833,468,1127,8,1.7806,0.8658,0,0.9015,1,2025-09,September,9,3,2025,Monday,2748,0.1017,Success
273,2025-09-30,Asset,2527,2272,2822,3390,3959,0.6283,1.111,2196,454,4,0.8633,0.8439,0,0.4949,1,2025-09,September,9,3,2025,Tuesday,-569,0.6478,Success
274,2025-10-01,Asset,2336,804,3694,4440,1085,0.7446,0.5841,4981,2151,4,1.8466,0.9894,0,0.4558,1,2025-10,October,10,4,2025,Wednesday,3355,1.1218,Success
275,2025-10-02,Liability,1653,2934,1932,1587,600,0.2334,0.6425,3318,1117,7,0.5245,0.9615,1,0.3162,1,2025-10,October,10,4,2025,Thursday,987,2.0907,Success
276,2025-10-03,Liability,156,3815,3844,447,1450,0.2172,2.8501,189,392,7,1.7507,0.9526,0,0.0102,1,2025-10,October,10,4,2025,Friday,-1003,0.4228,Success
277,2025-10-04,Expense,238,2445,2385,4227,1295,0.2342,0.8612,1657,106,7,1.066,0.8213,0,0.027,1,2025-10,October,10,4,2025,Saturday,2932,0.392,Success
278,2025-10-05,Asset,1180,4082,651,1697,2329,0.5021,1.7155,2926,1290,4,1.7571,0.8391,0,0.2195,1,2025-10,October,10,4,2025,Sunday,-632,1.7242,Success
279,2025-10-06,Expense,4330,2180,977,1285,2783,0.5523,1.8763,636,3432,1,0.9853,0.9921,0,0.8635,1,2025-10,October,10,4,2025,Monday,-1498,0.4949,Success
280,2025-10-07,Asset,4110,1054,1999,3432,2695,0.31,2.5225,3835,2682,4,1.1556,0.817,0,0.8185,1,2025-10,October,10,4,2025,Tuesday,737,1.1174,Success
281,2025-10-08,Expense,748,1454,936,4763,761,0.2046,1.2812,2403,3900,1,1.0933,0.9932,0,0.1312,1,2025-10,October,10,4,2025,Wednesday,4002,0.5045,Success
282,2025-10-09,Liability,4014,4217,895,4161,894,0.7368,1.161,1496,1860,3,1.9774,0.8326,0,0.7989,1,2025-10,October,10,4,2025,Thursday,3267,0.3595,Success
283,2025-10-10,Asset,1630,3960,946,1123,2106,0.7825,2.9578,428,1718,4,1.1487,0.9959,0,0.3115,1,2025-10,October,10,4,2025,Friday,-983,0.3811,Success
284,2025-10-11,Expense,4013,1040,3762,4641,3879,0.2606,1.4537,3729,2560,2,1.7446,0.8541,0,0.7987,1,2025-10,October,10,4,2025,Saturday,762,0.8035,Success
285,2025-10-12,Expense,1742,1603,2993,4700,3937,0.4988,0.7456,3668,3394,5,1.5768,0.9406,0,0.3344,1,2025-10,October,10,4,2025,Sunday,763,0.7804,Success
286,2025-10-13,Asset,738,3311,2516,3458,543,0.6804,2.5209,1482,3017,5,0.504,0.8056,0,0.1292,1,2025-10,October,10,4,2025,Monday,2915,0.4286,Success
287,2025-10-14,Expense,1936,1529,2017,2607,2828,0.4323,2.5459,3385,2573,7,1.5747,0.9793,0,0.3741,0,2025-10,October,10,4,2025,Tuesday,-221,1.2984,Failure
288,2025-10-15,Asset,1791,4363,332,1196,2085,0.5982,2.3527,688,3326,7,1.2504,0.9561,0,0.3444,1,2025-10,October,10,4,2025,Wednesday,-889,0.5753,Success
289,2025-10-16,Liability,3641,3367,666,3166,214,0.3877,1.1066,680,1730,2,1.18,0.8161,0,0.7226,1,2025-10,October,10,4,2025,Thursday,2952,0.2148,Success
290,2025-10-17,Asset,1906,1457,2243,645,712,0.3913,2.031,4247,680,1,1.7228,0.9681,0,0.3679,1,2025-10,October,10,4,2025,Friday,-67,6.5845,Success
291,2025-10-18,Expense,4574,1969,2539,4875,1627,0.2134,0.9587,4987,1485,3,1.2602,0.8824,0,0.9133,1,2025-10,October,10,4,2025,Saturday,3248,1.023,Success
292,2025-10-19,Liability,3727,568,3449,2479,1141,0.3943,2.3756,4156,3751,5,1.8742,0.955,0,0.7402,1,2025-10,October,10,4,2025,Sunday,1338,1.6765,Success
